ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,MORENA,108226.8,False
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,160352.2,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,133618.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,140552.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,148107.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,138707.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,136123.0,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__1,BAJA CALIFORNIA SUR__1,PAN,159041.0,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MORENA,222960.0,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,190353.0,False
CHIAPAS,CHIAPAS__13,CHIAPAS__13,MORENA,153597.0,False
CHIAPAS,CHIAPAS__10,CHIAPAS__10,MORENA,165343.0,False
CHIAPAS,CHIAPAS__7,CHIAPAS__7,MORENA,163221.0,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,168103.0,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,182728.0,False
CHIAPAS,CHIAPAS__8,CHIAPAS__8,MORENA,151230.0,False
CHIAPAS,CHIAPAS__11,CHIAPAS__11,MORENA,136941.0,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,173704.0,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,PRI,178864.0,False
CHIHUAHUA,CHIHUAHUA__2,CHIHUAHUA__2,MORENA,119566.0,False
CHIHUAHUA,CHIHUAHUA__6,CHIHUAHUA__6,PAN,203750.0,False
CHIHUAHUA,CHIHUAHUA__8,CHIHUAHUA__8,PAN,164317.0,False
CHIHUAHUA,CHIHUAHUA__7,CHIHUAHUA__7,PAN,138206.0,False
CHIHUAHUA,CHIHUAHUA__5,CHIHUAHUA__5,PAN,166371.0,False
CHIHUAHUA,CHIHUAHUA__9,CHIHUAHUA__9,PRI,146098.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__18,CIUDAD DE MEXICO__18,MORENA,161077.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,139632.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,MORENA,132031.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5,MORENA,144723.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,182194.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__16,CIUDAD DE MEXICO__16,MORENA,171202.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,194661.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,166005.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,152924.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__21,CIUDAD DE MEXICO__21,MORENA,143321.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__23,CIUDAD DE MEXICO__23,MORENA,200066.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14,MORENA,142901.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__17,CIUDAD DE MEXICO__17,MORENA,190254.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,200443.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,PAN,193372.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__24,CIUDAD DE MEXICO__24,PAN,189338.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,PAN,180147.0,False
COAHUILA,COAHUILA__4,COAHUILA__4,PRI,168209.7,False
COAHUILA,COAHUILA__7,COAHUILA__7,PRI,165365.4,False
COAHUILA,COAHUILA__5,COAHUILA__5,PRI,140558.1,False
COAHUILA,COAHUILA__1,COAHUILA__1,PRI,138658.5,False
COAHUILA,COAHUILA__6,COAHUILA__6,PRI,147309.5,False
COLIMA,COLIMA__2,COLIMA__2,MORENA,130890.0,False
DURANGO,DURANGO__3,DURANGO__3,MORENA,182252.6,False
DURANGO,DURANGO__2,DURANGO__2,PRI,148196.7,False
DURANGO,DURANGO__1,DURANGO__1,PRI,152330.7,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,MORENA,151086.0,False
GUANAJUATO,GUANAJUATO__11,GUANAJUATO__11,PAN,118958.0,False
GUANAJUATO,GUANAJUATO__14,GUANAJUATO__14,PAN,128043.0,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,125029.0,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,PAN,114720.0,False
GUANAJUATO,GUANAJUATO__13,GUANAJUATO__13,PAN,143037.0,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,130131.0,False
GUANAJUATO,GUANAJUATO__12,GUANAJUATO__12,PAN,138223.0,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,PAN,129927.0,False
GUERRERO,GUERRERO__2,GUERRERO__2,MORENA,160104.0,False
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,168234.0,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,151007.0,False
GUERRERO,GUERRERO__8,GUERRERO__8,MORENA,160133.0,False
GUERRERO,GUERRERO__7,GUERRERO__7,MORENA,151048.0,False
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,179200.0,False
HIDALGO,HIDALGO__5,HIDALGO__5,MORENA,146646.0,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,110201.9,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,180557.6,False
HIDALGO,HIDALGO__6,HIDALGO__6,MORENA,131959.40000000002,False
JALISCO,JALISCO__8,JALISCO__8,MC,181823.0,False
JALISCO,JALISCO__15,JALISCO__15,MC,158232.0,False
JALISCO,JALISCO__13,JALISCO__13,MC,132220.0,False
JALISCO,JALISCO__10,JALISCO__10,MC,157647.0,False
JALISCO,JALISCO__19,JALISCO__19,MC,167443.0,False
