entidad,entidad_ascii,distrito,coalicion,grupo_parlamentario,partido_origen,_ENT_N
AGUASCALIENTES,AGUASCALIENTES,1,FUERZA Y CORAZON POR MEXICO,PRI,,AGUASCALIENTES
AGUASCALIENTES,AGUASCALIENTES,2,FUERZA Y CORAZON POR MEXICO,PAN,,AGUASCALIENTES
BAJA CALIFORNIA,BAJA CALIFORNIA,1,FUERZA Y CORAZON POR MEXICO,PAN,,BAJA CALIFORNIA
BAJA CALIFORNIA,BAJA CALIFORNIA,2,FUERZA Y CORAZON POR MEXICO,PAN,,BAJA CALIFORNIA
BAJA CALIFORNIA,BAJA CALIFORNIA,3,FUERZA Y CORAZON POR MEXICO,PRD,PAN|PRD|PRI,BAJA CALIFORNIA
BAJA CALIFORNIA,BAJA CALIFORNIA,4,FUERZA Y CORAZON POR MEXICO,PRD,PAN|PRD|PRI,BAJA CALIFORNIA
BAJA CALIFORNIA,BAJA CALIFORNIA,5,FUERZA Y CORAZON POR MEXICO,PAN,,BAJA CALIFORNIA
BAJA CALIFORNIA,BAJA CALIFORNIA,6,FUERZA Y CORAZON POR MEXICO,PRI,,BAJA CALIFORNIA
BAJA CALIFORNIA,BAJA CALIFORNIA,7,FUERZA Y CORAZON POR MEXICO,PRI,,BAJA CALIFORNIA
BAJA CALIFORNIA,BAJA CALIFORNIA,8,FUERZA Y CORAZON POR MEXICO,PAN,,BAJA CALIFORNIA
BAJA CALIFORNIA,BAJA CALIFORNIA,9,FUERZA Y CORAZON POR MEXICO,PRI,,BAJA CALIFORNIA
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,1,FUERZA Y CORAZON POR MEXICO,PAN,,BAJA CALIFORNIA SUR
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,2,FUERZA Y CORAZON POR MEXICO,PAN,,BAJA CALIFORNIA SUR
CAMPECHE,CAMPECHE,2,FUERZA Y CORAZON POR MEXICO,PRI,,CAMPECHE
CAMPECHE,CAMPECHE,2,FUERZA Y CORAZON POR MEXICO,PRD,,CAMPECHE
CHIAPAS,CHIAPAS,1,FUERZA Y CORAZON POR MEXICO,PRD,,CHIAPAS
CHIAPAS,CHIAPAS,2,FUERZA Y CORAZON POR MEXICO,PRI,,CHIAPAS
CHIAPAS,CHIAPAS,3,FUERZA Y CORAZON POR MEXICO,PRD,,CHIAPAS
CHIAPAS,CHIAPAS,4,FUERZA Y CORAZON POR MEXICO,PRD,,CHIAPAS
CHIAPAS,CHIAPAS,6,FUERZA Y CORAZON POR MEXICO,PRD,,CHIAPAS
CHIAPAS,CHIAPAS,7,FUERZA Y CORAZON POR MEXICO,PRI,,CHIAPAS
CHIAPAS,CHIAPAS,9,FUERZA Y CORAZON POR MEXICO,PAN,,CHIAPAS
CHIAPAS,CHIAPAS,10,FUERZA Y CORAZON POR MEXICO,PRD,,CHIAPAS
CHIAPAS,CHIAPAS,11,FUERZA Y CORAZON POR MEXICO,PRD,,CHIAPAS
CHIAPAS,CHIAPAS,8,FUERZA Y CORAZON POR MEXICO,PRI,,CHIAPAS
CHIAPAS,CHIAPAS,5,FUERZA Y CORAZON POR MEXICO,PRI,,CHIAPAS
CHIAPAS,CHIAPAS,12,FUERZA Y CORAZON POR MEXICO,PRD,PAN|PRD|PRI,CHIAPAS
CHIAPAS,CHIAPAS,13,FUERZA Y CORAZON POR MEXICO,PRI,,CHIAPAS
CHIHUAHUA,CHIHUAHUA,1,FUERZA Y CORAZON POR MEXICO,PRD,,CHIHUAHUA
CHIHUAHUA,CHIHUAHUA,2,FUERZA Y CORAZON POR MEXICO,PRI,,CHIHUAHUA
CHIHUAHUA,CHIHUAHUA,3,FUERZA Y CORAZON POR MEXICO,PRI,,CHIHUAHUA
CHIHUAHUA,CHIHUAHUA,4,FUERZA Y CORAZON POR MEXICO,PAN,,CHIHUAHUA
CHIHUAHUA,CHIHUAHUA,5,FUERZA Y CORAZON POR MEXICO,PAN,,CHIHUAHUA
